0	250	0
1	150	30
2	90	40
3	350	70
4	120	100
5	60	110
6	280	140
7	750	170
8	40	180
9	170	190
10	200	200
11	220	230
12	100	240
13	350	270
14	300	300
15	50	310
16	170	340
17	580	390
18	600	400
19	520	420
20	100	500
21	220	530
22	280	540
23	250	570
24	200	600
25	150	610
26	90	640
27	30	690
28	120	700
29	80	720
30	200	740
31	220	740
32	140	750
33	190	770
34	100	800
35	20	810
36	130	840
37	600	890
38	60	900
39	50	920
40	110	900
41	420	930
42	270	940
43	230	970
44	100	1000
45	140	1010
46	90	1040
47	30	1090
48	160	1100
49	50	1120
50	200	1130
51	820	1140
52	180	1150
53	150	1170
54	130	1200
55	50	1210
56	190	1240
57	630	1290
58	60	1400
59	20	1420
60	100	1500
61	420	1530
62	280	1640
63	250	1670
64	180	1700
65	150	1710
66	90	1740
67	30	1790
68	160	1800
69	50	1820
70	200	1130
71	420	1140
72	180	1150
73	350	1170
74	100	1200
75	50	1210
76	190	1240
77	600	1290
78	60	1400
79	50	1420
80	100	1500
81	480	1530
82	280	1640
83	250	1670
84	100	1700
85	150	1710
86	90	1740
87	300	1790
88	160	1800
89	50	1820
